catch_id,sample_row_id,station_code,start_date,start_time,common_name,fork_length,dead,lifestage,mark_code,weight,count,run,count_reference
983970,34687,Gate 7,8/1/2023,10:58,Sturgeon,26,No,not provided,n/a,0,1,n/p,0
983971,34687,Gate 7,8/1/2023,10:58,Rainbow Trout,81,No,RBT - silvery parr,n/a,0,1,n/p,0
983972,34687,Gate 7,8/1/2023,10:58,Rainbow Trout,76,No,RBT - parr,n/a,0,1,n/p,0
983973,34687,Gate 7,8/1/2023,10:58,Rainbow Trout,68,No,RBT - parr,n/a,0,1,n/p,0
983974,34687,Gate 7,8/1/2023,10:58,Chinook Salmon,78,No,not provided,n/a,0,1,F,0
983975,34687,Gate 7,8/1/2023,10:58,Chinook Salmon,84,No,not provided,n/a,0,1,F,0
983976,34687,Gate 7,8/1/2023,10:58,Chinook Salmon,85,No,not provided,n/a,0,1,F,0
983977,34687,Gate 7,8/1/2023,10:58,Chinook Salmon,89,No,not provided,n/a,0,1,F,0
983978,34687,Gate 7,8/1/2023,10:58,Chinook Salmon,96,No,not provided,n/a,0,1,F,0
983979,34687,Gate 7,8/1/2023,10:58,Chinook Salmon,99,No,not provided,n/a,0,1,F,0
983980,34687,Gate 7,8/1/2023,10:58,Chinook Salmon,100,No,not provided,n/a,0,1,F,0
983981,34687,Gate 7,8/1/2023,10:58,Chinook Salmon,107,No,not provided,n/a,0,1,F,0
983982,34688,Gate 8,8/1/2023,11:38,Sacramento Squawfish,38,No,not provided,n/a,0,1,n/p,0
983983,34688,Gate 8,8/1/2023,11:38,Sacramento Squawfish,38,No,not provided,n/a,0,1,n/p,0
983984,34688,Gate 8,8/1/2023,11:38,Sacramento Squawfish,19,No,not provided,n/a,0,1,n/p,0
983985,34688,Gate 8,8/1/2023,11:38,Sacramento Squawfish,53,No,not provided,n/a,0,1,n/p,0
983986,34688,Gate 8,8/1/2023,11:38,Sacramento Squawfish,43,No,not provided,n/a,0,1,n/p,0
983987,34688,Gate 8,8/1/2023,11:38,Sacramento Sucker,19,No,not provided,n/a,0,1,n/p,0
983988,34688,Gate 8,8/1/2023,11:38,Sacramento Sucker,53,No,not provided,n/a,0,1,n/p,0
983989,34688,Gate 8,8/1/2023,11:38,Sacramento Sucker,28,No,not provided,n/a,0,1,n/p,0
983990,34688,Gate 8,8/1/2023,11:38,Sacramento Sucker,25,No,not provided,n/a,0,1,n/p,0
983991,34688,Gate 8,8/1/2023,11:38,Sacramento Sucker,22,No,not provided,n/a,0,1,n/p,0
983992,34688,Gate 8,8/1/2023,11:38,Sacramento Sucker,22,No,not provided,n/a,0,1,n/p,0
983993,34688,Gate 8,8/1/2023,11:38,Sacramento Sucker,27,No,not provided,n/a,0,1,n/p,0
983994,34688,Gate 8,8/1/2023,11:38,Sacramento Sucker,19,No,not provided,n/a,0,1,n/p,0
983995,34688,Gate 8,8/1/2023,11:38,Sacramento Sucker,24,No,not provided,n/a,0,1,n/p,0
983996,34688,Gate 8,8/1/2023,11:38,Sacramento Sucker,23,No,not provided,n/a,0,1,n/p,0
983997,34688,Gate 8,8/1/2023,11:38,Sacramento Sucker,55,No,not provided,n/a,0,1,n/p,0
983998,34688,Gate 8,8/1/2023,11:38,Sturgeon,27,No,not provided,n/a,0,1,n/p,0
983999,34688,Gate 8,8/1/2023,11:38,Sturgeon,24,No,not provided,n/a,0,1,n/p,0
984000,34688,Gate 8,8/1/2023,11:38,Sturgeon,26,Yes,not provided,n/a,0,1,n/p,0
984001,34688,Gate 8,8/1/2023,11:38,Sturgeon,26,No,not provided,n/a,0,1,n/p,0
984002,34688,Gate 8,8/1/2023,11:38,Rainbow Trout,49,No,RBT - parr,n/a,0,1,n/p,0
984003,34688,Gate 8,8/1/2023,11:38,Chinook Salmon,80,No,not provided,n/a,0,1,F,0
984004,34689,Gate 1,8/2/2023,10:05,Unknown Cyprinidae,26,No,not provided,n/a,0,1,n/p,0
984005,34689,Gate 1,8/2/2023,10:05,Sacramento Sucker,42,No,not provided,n/a,0,1,n/p,0
984006,34689,Gate 1,8/2/2023,10:05,Unknown Fry,18,No,not provided,n/a,0,1,n/p,0
984007,34689,Gate 1,8/2/2023,10:05,Sacramento Squawfish,46,No,not provided,n/a,0,1,n/p,0
984008,34689,Gate 1,8/2/2023,10:05,Hardhead,72,No,not provided,n/a,0,1,n/p,0
984009,34689,Gate 1,8/2/2023,10:05,Rainbow Trout,67,No,RBT - parr,n/a,0,1,n/p,0
984010,34689,Gate 1,8/2/2023,10:05,Rainbow Trout,62,No,RBT - parr,n/a,0,1,n/p,0
984011,34690,Gate 5,8/2/2023,8:38,Sacramento Squawfish,38,No,not provided,n/a,0,1,n/p,0
984012,34690,Gate 5,8/2/2023,8:38,Sacramento Squawfish,48,No,not provided,n/a,0,1,n/p,0
984013,34690,Gate 5,8/2/2023,8:38,Unknown Fry,23,Yes,not provided,n/a,0,1,n/p,0
984014,34690,Gate 5,8/2/2023,8:38,Sacramento Sucker,22,No,not provided,n/a,0,1,n/p,0
984015,34690,Gate 5,8/2/2023,8:38,Sacramento Sucker,54,No,not provided,n/a,0,1,n/p,0
984016,34690,Gate 5,8/2/2023,8:38,Sacramento Sucker,22,Yes,not provided,n/a,0,1,n/p,0
984017,34690,Gate 5,8/2/2023,8:38,Green Sturgeon,44,Yes,not provided,n/a,0,1,n/p,0
984018,34690,Gate 5,8/2/2023,8:38,Sturgeon,26,No,not provided,n/a,0,1,n/p,0
984019,34690,Gate 5,8/2/2023,8:38,Sturgeon,25,Yes,not provided,n/a,0,1,n/p,0
984020,34690,Gate 5,8/2/2023,8:38,Rainbow Trout,39,No,RBT - fry,n/a,0,1,n/p,0
984021,34690,Gate 5,8/2/2023,8:38,Rainbow Trout,85,No,RBT - parr,n/a,0,1,n/p,0
984022,34690,Gate 5,8/2/2023,8:38,Rainbow Trout,60,No,RBT - parr,n/a,0,1,n/p,0
984023,34690,Gate 5,8/2/2023,8:38,Rainbow Trout,64,No,RBT - parr,n/a,0,1,n/p,0
984024,34690,Gate 5,8/2/2023,8:38,Rainbow Trout,67,No,RBT - silvery parr,n/a,0,1,n/p,0
984025,34690,Gate 5,8/2/2023,8:38,Rainbow Trout,66,No,RBT - parr,n/a,0,1,n/p,0
984026,34690,Gate 5,8/2/2023,8:38,Rainbow Trout,68,No,RBT - parr,n/a,0,1,n/p,0
984027,34690,Gate 5,8/2/2023,8:38,Rainbow Trout,43,No,RBT - fry,n/a,0,1,n/p,0
984028,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,40,No,not provided,n/a,0,1,W,0
984029,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,80,No,not provided,n/a,0,2,F,0
984030,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,83,No,not provided,n/a,0,2,F,0
984031,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,85,No,not provided,n/a,0,1,F,0
984032,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,87,No,not provided,n/a,0,2,F,0
984033,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,88,No,not provided,n/a,0,1,F,0
984034,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,89,No,not provided,n/a,0,1,F,0
984035,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,90,No,not provided,n/a,0,2,F,0
984036,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,92,No,not provided,n/a,0,1,F,0
984037,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,93,No,not provided,n/a,0,1,F,0
984038,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,94,No,not provided,n/a,0,2,F,0
984039,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,95,No,not provided,n/a,0,1,F,0
984040,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,96,No,not provided,n/a,0,1,F,0
984041,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,97,No,not provided,n/a,0,1,F,0
984042,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,98,No,not provided,n/a,0,1,F,0
984043,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,99,No,not provided,n/a,0,2,F,0
984044,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,100,No,not provided,n/a,0,3,F,0
984045,34690,Gate 5,8/2/2023,8:38,Chinook Salmon,102,No,not provided,n/a,0,1,F,0
984046,34691,Gate 6,8/2/2023,7:42,American Shad,413,No,not provided,n/a,0,1,n/p,0
984047,34691,Gate 6,8/2/2023,7:42,Unknown Fry,28,Yes,not provided,n/a,0,1,n/p,0
984048,34691,Gate 6,8/2/2023,7:42,Unknown Fry,28,Yes,not provided,n/a,0,1,n/p,0
984049,34691,Gate 6,8/2/2023,7:42,Unknown Fry,22,Yes,not provided,n/a,0,1,n/p,0
984050,34691,Gate 6,8/2/2023,7:42,Unknown Fry,26,Yes,not provided,n/a,0,1,n/p,0
984051,34691,Gate 6,8/2/2023,7:42,Sacramento Squawfish,41,No,not provided,n/a,0,1,n/p,0
984052,34691,Gate 6,8/2/2023,7:42,Sacramento Squawfish,48,No,not provided,n/a,0,1,n/p,0
984053,34691,Gate 6,8/2/2023,7:42,Sacramento Squawfish,56,No,not provided,n/a,0,1,n/p,0
984054,34691,Gate 6,8/2/2023,7:42,Sacramento Squawfish,44,No,not provided,n/a,0,1,n/p,0
984055,34691,Gate 6,8/2/2023,7:42,Sacramento Squawfish,48,No,not provided,n/a,0,1,n/p,0
984056,34691,Gate 6,8/2/2023,7:42,Sacramento Squawfish,44,No,not provided,n/a,0,1,n/p,0
984057,34691,Gate 6,8/2/2023,7:42,Sacramento Squawfish,43,No,not provided,n/a,0,1,n/p,0
984058,34691,Gate 6,8/2/2023,7:42,Hardhead,37,No,not provided,n/a,0,1,n/p,0
984059,34691,Gate 6,8/2/2023,7:42,Hardhead,37,No,not provided,n/a,0,1,n/p,0
984060,34691,Gate 6,8/2/2023,7:42,Hardhead,67,No,not provided,n/a,0,1,n/p,0
984061,34691,Gate 6,8/2/2023,7:42,Hardhead,36,No,not provided,n/a,0,1,n/p,0
984062,34691,Gate 6,8/2/2023,7:42,Tule Perch,33,Yes,not provided,n/a,0,1,n/p,0
984063,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,63,No,not provided,n/a,0,1,n/p,0
984064,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,34,No,not provided,n/a,0,1,n/p,0
984065,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,60,No,not provided,n/a,0,1,n/p,0
984066,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,58,Yes,not provided,n/a,0,1,n/p,0
984067,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,30,Yes,not provided,n/a,0,1,n/p,0
984068,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,36,Yes,not provided,n/a,0,1,n/p,0
984069,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,27,Yes,not provided,n/a,0,1,n/p,0
984070,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,27,Yes,not provided,n/a,0,1,n/p,0
984071,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,26,Yes,not provided,n/a,0,1,n/p,0
984072,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,25,Yes,not provided,n/a,0,1,n/p,0
984073,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,30,Yes,not provided,n/a,0,1,n/p,0
984074,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,24,Yes,not provided,n/a,0,1,n/p,0
984075,34691,Gate 6,8/2/2023,7:42,Sacramento Sucker,44,Yes,not provided,n/a,0,1,n/p,0
984076,34691,Gate 6,8/2/2023,7:42,Unknown Lampetra,97,No,not provided,n/a,0,1,n/p,0
984077,34691,Gate 6,8/2/2023,7:42,Sturgeon,25,No,not provided,n/a,0,1,n/p,0
984078,34691,Gate 6,8/2/2023,7:42,Sturgeon,25,No,not provided,n/a,0,1,n/p,0
984079,34691,Gate 6,8/2/2023,7:42,Sturgeon,26,No,not provided,n/a,0,1,n/p,0
984080,34691,Gate 6,8/2/2023,7:42,Sturgeon,39,No,not provided,n/a,0,1,n/p,0
984081,34691,Gate 6,8/2/2023,7:42,Sturgeon,25,No,not provided,n/a,0,1,n/p,0
984082,34691,Gate 6,8/2/2023,7:42,Sturgeon,24,No,not provided,n/a,0,1,n/p,0
984083,34691,Gate 6,8/2/2023,7:42,Sturgeon,24,No,not provided,n/a,0,1,n/p,0
984084,34691,Gate 6,8/2/2023,7:42,Sturgeon,24,No,not provided,n/a,0,1,n/p,0
984085,34691,Gate 6,8/2/2023,7:42,Sturgeon,31,No,not provided,n/a,0,1,n/p,0
984086,34691,Gate 6,8/2/2023,7:42,Sturgeon,26,No,not provided,n/a,0,1,n/p,0
984087,34691,Gate 6,8/2/2023,7:42,Sturgeon,25,No,not provided,n/a,0,1,n/p,0
984088,34691,Gate 6,8/2/2023,7:42,Green Sturgeon,49,Yes,not provided,n/a,0,1,n/p,0
984089,34691,Gate 6,8/2/2023,7:42,Rainbow Trout,72,No,RBT - parr,n/a,0,1,n/p,0
984090,34691,Gate 6,8/2/2023,7:42,Rainbow Trout,72,No,RBT - parr,n/a,0,1,n/p,0
984091,34691,Gate 6,8/2/2023,7:42,Rainbow Trout,54,No,RBT - parr,n/a,0,1,n/p,0
984092,34691,Gate 6,8/2/2023,7:42,Rainbow Trout,61,No,RBT - parr,n/a,0,1,n/p,0
984093,34691,Gate 6,8/2/2023,7:42,Chinook Salmon,58,Yes,not provided,n/a,0,1,L,0
984094,34691,Gate 6,8/2/2023,7:42,Chinook Salmon,64,Yes,not provided,n/a,0,1,L,0
984095,34691,Gate 6,8/2/2023,7:42,Chinook Salmon,65,Yes,not provided,n/a,0,1,L,0
984096,34691,Gate 6,8/2/2023,7:42,Chinook Salmon,76,Yes,not provided,n/a,0,1,F,0
984097,34691,Gate 6,8/2/2023,7:42,Chinook Salmon,77,Yes,not provided,n/a,0,1,F,0
984098,34691,Gate 6,8/2/2023,7:42,Chinook Salmon,80,Yes,not provided,n/a,0,1,F,0
984099,34691,Gate 6,8/2/2023,7:42,Chinook Salmon,81,Yes,not provided,n/a,0,1,F,0
984100,34691,Gate 6,8/2/2023,7:42,Chinook Salmon,83,Yes,not provided,n/a,0,3,F,0
984101,34691,Gate 6,8/2/2023,7:42,Chinook Salmon,84,Yes,not provided,n/a,0,1,F,0
