mark_row_id,mark_sample_row_id,source,fish_origin,fork_length,count,dead
{0000038C-0000-0000-0000-000000000000},{0000002A-0000-0000-0000-000000000000},RBDD,WILD,93,1,
{0000038D-0000-0000-0000-000000000000},{0000002A-0000-0000-0000-000000000000},RBDD,WILD,94,3,
{0000038E-0000-0000-0000-000000000000},{0000002A-0000-0000-0000-000000000000},RBDD,WILD,95,4,
{0000038F-0000-0000-0000-000000000000},{0000002A-0000-0000-0000-000000000000},RBDD,WILD,98,2,
{00000390-0000-0000-0000-000000000000},{0000002A-0000-0000-0000-000000000000},RBDD,WILD,100,1,
{00000391-0000-0000-0000-000000000000},{0000002A-0000-0000-0000-000000000000},RBDD,WILD,101,1,
{00000392-0000-0000-0000-000000000000},{0000002A-0000-0000-0000-000000000000},RBDD,WILD,102,1,
{00000393-0000-0000-0000-000000000000},{0000002A-0000-0000-0000-000000000000},RBDD,WILD,103,1,
{00000394-0000-0000-0000-000000000000},{0000002A-0000-0000-0000-000000000000},RBDD,WILD,109,1,
{00000395-0000-0000-0000-000000000000},{0000002A-0000-0000-0000-000000000000},RBDD,WILD,112,2,
{00000396-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,32,1,
{00000397-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,33,1,
{00000398-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,34,1,
{00000399-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,35,4,
{0000039A-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,37,1,
{0000039B-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,38,1,
{0000039C-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,61,1,
{0000039D-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,65,3,
{0000039E-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,66,2,
{0000039F-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,67,2,
{000003A0-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,68,2,
{000003A1-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,70,1,
{000003A2-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,71,2,
{000003A3-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,72,1,
{000003A4-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,73,8,
{000003A5-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,74,4,
{000003A6-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,75,10,
{000003A7-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,76,8,
{000003A8-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,77,6,
{000003A9-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,78,6,
{000003AA-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,79,7,
{000003AB-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,80,3,
{000003AC-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,81,3,
{000003AD-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,82,3,
{000003AE-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,83,2,
{000003AF-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,84,6,
{000003B0-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,85,1,
{000003B1-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,86,1,
{000003B2-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,87,1,
{000003B3-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,89,2,
{000003B4-0000-0000-0000-000000000000},{0000000A-0000-0000-0000-000000000000},MIX,BOTH,93,4,
{000003B5-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,53,1,
{000003B6-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,55,3,
{000003B7-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,56,1,
{000003B8-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,57,2,
{000003B9-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,58,3,
{000003BA-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,59,1,
{000003BB-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,60,1,
{000003BC-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,61,1,
{000003BD-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,63,2,
{000003BE-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,64,5,
{000003BF-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,65,10,
{000003C0-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,66,6,
{000003C1-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,67,7,
{000003C2-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,68,10,
{000003C3-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,69,12,
{000003C4-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,70,25,
{000003C5-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,71,11,
{000003C6-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,72,18,
{000003C7-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,73,33,
{000003C8-0000-0000-0000-000000000000},{00000018-0000-0000-0000-000000000000},MIX,BOTH,74,21,
